month,day,eol_per,hid_per,solFot_per,solTer_per,termRenov_per,Nuclear_per,Demand_per
6,11,-0.34006313111874603,0.029336421884830415,0.31147791519165596,0.6676811589127798,0.007557171389306588,-0.13600507900498354,-0.018145665285107155
6,12,-0.33449192198867167,0.027171862074302073,0.3239760556933697,0.6862305356842112,0.010091570937424226,-0.12717421498775888,-0.01436885396907884
6,13,-0.3275347431075359,0.024767710283585834,0.3365064358181718,0.7042208437482056,0.012670368183952934,-0.11804745132051188,-0.010809823249255038
6,14,-0.3194000001870115,0.022060602932897307,0.3488561998069021,0.7214743538865304,0.01525073826902443,-0.10867504511190082,-0.00749014065469329
6,15,-0.3103086331586588,0.01899236473171464,0.36082816208761814,0.7378402582439898,0.017788151611454795,-0.09911044920726378,-0.00442252282584427
6,16,-0.30048923601911276,0.015511438492838425,0.37224464112975825,0.7531972258809835,0.020237316618877038,-0.08941023226505178,-0.0016106559865461945
6,17,-0.2901728051868408,0.011574067633020907,0.382951330050054,0.7674560254629497,0.02255329802251837,-0.0796333763459382,0.0009509118572739363
6,18,-0.27958769421410684,0.007145357194675035,0.3928202428535763,0.7805609001869728,0.024692604252185602,-0.06984058827530219,0.0032765504547184795
6,19,-0.26895469618464385,0.0022000955198353987,0.4017519149634449,0.7924900195610807,0.02661426648942985,-0.06009342045579995,0.0053890688412093725
6,20,-0.25848309821832455,-0.003276335445791928,0.4096762224451025,0.8032542214628566,0.028280754360198144,-0.05045389065950359,0.007318850006446926
6,21,-0.2483659530324471,-0.00928785650430363,0.4165533316566387,0.8128961243428762,0.029659030559208516,-0.04098292687601574,0.009102979414150884
6,22,-0.2387771178418515,-0.01582726786822814,0.42237272494070305,0.8214869251255988,0.030721274852590484,-0.03173991383886669,0.010783908803293015
6,23,-0.22986827143139804,-0.022876358922996345,0.4271519237689473,0.8291230875852099,0.03144559867077959,-0.022781666223100037,0.012408061924315341
6,24,-0.22176669688332243,-0.030406224179548056,0.4309343315342826,0.83592219051821,0.03181659431977962,-0.014161528199157747,0.014024272140259444
6,25,-0.2145736583189461,-0.03837793123313954,0.43378641987499095,0.8420182911720315,0.03182572728820847,-0.005928414894168902,0.01568214266077799
6,26,-0.2083638602084309,-0.04674296761182031,0.4357941877735288,0.8475565546053375,0.03147157050640797,0.0018736209094956013,0.01743026187281101
6,27,-0.20318476014434833,-0.055444846609414275,0.43705948091267033,0.8526883512909501,0.030759866952152704,0.009206694263021696,0.019314612366560062
6,28,-0.19905737918158586,-0.0644200025043227,0.4376956487673376,0.8575655920964046,0.029703418187648455,0.016039339993558943,0.021376843558040703
6,29,-0.19597729239054423,-0.07359931845303402,0.43782319750761534,0.8623355427372996,0.028321815189690014,0.022347135685746124,0.02365274183126071
6,30,-0.1939162498468218,-0.08290981722141649,0.43756535872210905,0.8671359013268759,0.026640989646584005,0.02811316342373239,0.026170862770331434
7,1,-0.1928243933637951,-0.09227591718349365,0.43704377945784606,0.8720900314572442,0.02469272360735917,0.03332800855055653,0.028951206957812115
7,2,-0.19263266640910617,-0.10162183209514446,0.4363744108070702,0.8773033193348784,0.022513832363495984,0.03799027156304369,0.03200442092648601
7,3,-0.19325580808267087,-0.11087291299657373,0.4356637858534266,0.8828596673179636,0.020145429826351653,0.04210625376838236,0.03533097330725962
7,4,-0.19459545759118949,-0.11995750204575245,0.43500575871798536,0.8888190426654036,0.017632013428840763,0.04568983185541779,0.0389207591225248
7,5,-0.19654344402259044,-0.12880860892336504,0.434478809591296,0.8952158179374972,0.015020502042503624,0.04876211081206883,0.04275297958857388
7,6,-0.19898517118653436,-0.13736557036382377,0.43414398591788816,0.9020580782438998,0.012359202786045713,0.05135095840493057,0.04679638042168374
7,7,-0.20180282845132777,-0.14557506522111718,0.43404354970501224,0.9093274194356615,0.009696917371141579,0.05349026233827498,0.051009561939815054
7,8,-0.20487878331467785,-0.15339292468806007,0.43420030609970683,0.9169804182252517,0.007081748970963055,0.05521935772097118,0.055342059203361944
7,9,-0.20809850738946492,-0.16078472315077907,0.4346176967602352,0.9249501426537435,0.004560251890618626,0.05658204397267709,0.05973523594475093
7,10,-0.21135338154651045,-0.16772661860933952,0.4352805720268422,0.9331488032180044,0.0021764843000278596,0.057625671805348985,0.06412366247195954
7,11,-0.21454319727582796,-0.17420589301632625,0.4361566384913128,0.9414710785026706,-2.885512073961356e-05,0.05840013882411267,0.06843671603874751
7,12,-0.21757811275883787,-0.18022084128330637,0.4371984466042054,0.949797493542404,-0.0020190702610280117,0.05895680159708546,0.0726001113662871
7,13,-0.22038058060713758,-0.1857811137455836,0.43834599365116184,0.9579991656079447,-0.003762253050087466,0.0593474539875572,0.07653806267670152
7,14,-0.2228864813167304,-0.19090701510020042,0.4395296368403873,0.9659418392635329,-0.005231687274726361,0.059623219852819535,0.08017502569900667
7,15,-0.22504601097357863,-0.19562890706071903,0.4406733512352928,0.973490502181339,-0.006406251759123389,0.059833524458870066,0.08343772079546301
7,16,-0.2268240997490743,-0.1999862711760021,0.44169815384382793,0.9805138488805873,-0.007270660209262701,0.06002510937158605,0.0862570810495253
7,17,-0.22820042482740294,-0.20402657844881703,0.442525583863522,0.9868886045201952,-0.007815567628451883,0.06024112655644469,0.08857014591224335
7,18,-0.22916895498969803,-0.2078037227204865,0.4430810588746123,0.9925031370254993,-0.008037515446550235,0.060520316476197746,0.09032170041720762
7,19,-0.22973728663724707,-0.21137674441065385,0.4432971217332352,0.9972613141404851,-0.007938806573215494,0.060896325956663167,0.09146599918476539
7,20,-0.22992549343269136,-0.2148079532079803,0.4431162663391938,1.001085009924483,-0.007527193298843203,0.06139713309332511,0.09196799379712085
7,21,-0.22976478784479665,-0.2181612014525286,0.4424933900281377,1.0039162964732464,-0.00681549405508952,0.062044626100989896,0.09180444452805223
7,22,-0.22929594181093194,-0.22150006778552378,0.4413977192761044,1.0057187910648466,-0.005821108109838476,0.06285433082373276,0.09096471247371417
7,23,-0.22856753048712208,-0.22488608676106409,0.439814126564645,1.0064781951765098,-0.004565436746889113,0.06383530617375265,0.08945121767110946
7,24,-0.22763411222752167,-0.22837683542726667,0.43774390844686545,1.0062019807601694,-0.0030733217335968057,0.06499013613043646,0.08727966947006804
7,25,-0.22655426649624139,-0.23202451083167472,0.4352047067374149,1.0049183370885628,-0.001372293780051137,0.06631519035144183,0.08447878108894022
7,26,-0.22538871577236402,-0.23587426160062708,0.4322299336965541,1.002674243216885,0.0005080584088860975,0.06780091965485446,0.08108982274108562
7,27,-0.22419846166956756,-0.23996289666550102,0.42886745901763185,0.9995328951720814,0.0025367912572245048,0.0694323408385577,0.07716578213303826
7,28,-0.22304301477899977,-0.2443178252385838,0.42517765427721504,0.995570452689614,0.004682307653250449,0.07118965394039813,0.07277018958908286
7,29,-0.22197883164530094,-0.24895598749674072,0.42123110620941906,0.9908725277224546,0.006912901588813534,0.07304886074292367,0.06797593869372658
7,30,-0.22105779349147078,-0.25388356189114153,0.41710543144702783,0.9855298340142483,0.009197507408041941,0.07498267426591425,0.06286336086716054
7,31,-0.22032602479016558,-0.2590954583235394,0.41288215096004305,0.9796340648041021,0.011506143005072232,0.07696129031456268,0.05751861652061173
8,1,-0.21982286812628574,-0.264575352396813,0.4086431057720364,0.9732734865060213,0.013810406913222658,0.07895330076158558,0.05203169771452458
8,2,-0.21958011046646492,-0.2702959657950914,0.40446678955396104,0.9665286653948477,0.016083874755929393,0.0809266057372557,0.0464943883768817
8,3,-0.21962145510301842,-0.27621970420784026,0.4004246439365719,0.9594683614314953,0.018302439447669468,0.0828493426002326,0.04099812381152715
8,4,-0.21996222840447013,-0.28229922292772147,0.39657772812385517,0.952146238373879,0.020444440292477307,0.08469067646157112,0.03563218311922681
8,5,-0.22060932889384108,-0.28847893343450676,0.39297319691916716,0.944597296497549,0.022490965017833955,0.08642176275759883,0.03048131363588645
8,6,-0.22156139633357727,-0.294696050669786,0.38964165098376924,0.9368357886949565,0.024425813422586186,0.08801641500926254,0.02562411407137918
8,7,-0.22280918044026085,-0.30088217163926606,0.3865947658474417,0.928853505750922,0.02623551549546479,0.0894517958399113,0.021131264632972945
8,8,-0.22433610994157752,-0.3069650097303674,0.3838235536851937,0.9206188977815508,0.027909274313012898,0.09070899370224016,0.017063986083636518
8,9,-0.22611892283844398,-0.312869891189785,0.3812974774121731,0.9120775821635159,0.029438755942230707,0.091773412020151,0.013472972171701923
8,10,-0.22812860370658625,-0.3185220231575288,0.37896400500867583,0.9031528268515869,0.03081802339132505,0.09263517425442006,0.010397130902877031
8,11,-0.23033124491238702,-0.32384807671807886,0.3767492795684199,0.8937479039693912,0.03204323844428284,0.09328924718662698,0.007863099886280865
8,12,-0.23268906067281042,-0.3287781007822777,0.37455942786402563,0.8837488562735997,0.033112438034593294,0.09373550387742292,0.005884828923479414
