Date,eol,Nuclear,car,cc,hid,solFot,solTer,termRenov
2017-04-30,271252.5833333333,168994.16666666666,31062.5,28611.166666666664,-24123.0,17758.083333333332,3739.6666666666665,7925.75
2017-05-01,116804.25,169123.5833333333,38330.75,42109.58333333333,28396.333333333332,31053.0,24788.916666666664,7637.166666666666
2017-05-02,53628.33333333333,168452.91666666666,112336.91666666666,54679.75,70955.58333333333,28391.833333333332,28944.5,7933.666666666666
2017-05-03,79896.75,167752.25,124478.16666666666,41890.416666666664,73507.16666666666,29718.416666666664,29240.166666666664,7677.083333333333
2017-05-04,105733.58333333333,167277.66666666666,118567.41666666666,48711.166666666664,68698.41666666666,24552.416666666664,12410.833333333332,8125.5
2017-05-05,217279.5833333333,160783.91666666666,78163.16666666666,33928.416666666664,40356.416666666664,19685.583333333332,7061.083333333333,8801.0
2017-05-06,159131.5,142630.25,75401.83333333333,29928.5,40511.08333333333,29384.666666666664,20693.25,8196.416666666666
2017-05-07,68375.58333333333,145088.41666666666,83526.58333333333,37181.5,37877.25,31464.166666666664,28902.166666666664,8136.583333333333
2017-05-08,92001.5,145116.5,102948.5,45720.25,63874.58333333333,29972.833333333332,30325.166666666664,8278.5
2017-05-09,97371.5,144879.3333333333,112311.5,47565.5,68511.33333333333,27338.666666666664,25343.833333333332,8564.333333333334
2017-05-10,132945.3333333333,144680.41666666666,104121.41666666666,50842.166666666664,52569.916666666664,19763.75,6136.166666666666,8624.25
2017-05-11,265463.1666666666,144429.91666666666,60952.0,28483.666666666664,23659.5,19245.083333333332,6543.583333333333,10274.583333333332
2017-05-12,212614.66666666666,137420.75,66986.16666666666,29893.666666666664,55950.33333333333,20239.666666666664,7029.25,9669.166666666666
2017-05-13,152546.5,121867.0,76999.08333333333,36333.666666666664,48865.0,22988.333333333332,8428.916666666666,10248.5
2017-05-14,73264.75,121877.5,77693.41666666666,41038.83333333333,42043.5,29280.083333333332,22575.083333333332,10594.416666666666
2017-05-15,69102.0,121747.58333333333,124934.0,61047.75,68618.5,27088.833333333332,19510.916666666664,10067.833333333332
2017-05-16,67259.08333333333,118352.75,153103.0,59146.666666666664,86353.16666666666,26604.083333333332,17099.333333333332,10459.0
2017-05-17,109752.0,121350.0,147916.3333333333,50195.83333333333,59036.416666666664,24154.25,16281.666666666666,10554.0
2017-05-18,149992.0833333333,121357.0,109419.33333333333,33204.75,58055.58333333333,24654.75,24428.25,10622.25
2017-05-19,84893.66666666666,121283.25,115023.33333333333,50362.75,60893.416666666664,32371.166666666664,30978.166666666664,10556.333333333332
2017-05-20,73923.5,121233.66666666666,111997.58333333333,38871.0,47177.916666666664,32984.08333333333,31019.833333333332,10584.083333333332
2017-05-21,149741.5,118979.91666666666,83304.83333333333,39409.5,20284.416666666664,19445.666666666664,5184.0,10413.083333333332
2017-05-22,82772.08333333333,121523.91666666666,126400.25,68004.5,63561.5,30609.166666666664,23416.916666666664,10540.0
2017-05-23,144792.75,121492.91666666666,136072.66666666666,51173.08333333333,52789.25,31159.5,28965.25,10918.75
2017-05-24,101996.83333333333,121386.83333333333,147148.25,57651.916666666664,69427.5,29989.5,27838.916666666664,11067.666666666666
2017-05-25,69128.41666666666,121125.66666666666,162314.8333333333,93128.41666666666,87641.33333333333,28331.333333333332,24759.5,11230.583333333332
2017-05-26,80943.58333333333,121350.25,173040.3333333333,95866.75,73058.08333333333,26424.083333333332,16102.166666666666,11167.75
2017-05-27,123164.41666666666,121265.91666666666,123954.16666666666,47939.666666666664,60034.166666666664,26840.5,16955.75,10844.583333333332
2017-05-28,134718.5833333333,121130.08333333333,90065.66666666666,45925.666666666664,52730.916666666664,21186.666666666664,6265.666666666666,11006.5
2017-05-29,61454.75,121135.91666666666,146988.91666666666,82097.58333333333,88055.58333333333,21825.166666666664,11678.333333333332,10563.416666666666
2017-05-30,48044.916666666664,121196.5,172546.8333333333,92260.75,72597.91666666666,25168.333333333332,22249.666666666664,10585.916666666666
2017-05-31,63021.166666666664,121093.75,171439.25,92138.66666666666,66225.5,28879.083333333332,26845.916666666664,10437.083333333332
2017-06-01,58232.33333333333,106913.66666666666,169381.8333333333,124564.16666666666,76266.08333333333,26631.083333333332,25290.75,10402.5
2017-06-02,78831.75,96783.41666666666,160382.0833333333,136243.25,58665.0,24789.416666666664,22821.5,10641.416666666666
2017-06-03,92951.0,95560.08333333333,134082.91666666666,65902.16666666666,50179.166666666664,23189.333333333332,24374.666666666664,10755.916666666666
2017-06-04,119764.33333333333,115745.83333333333,97150.83333333333,54904.83333333333,18065.166666666664,19120.333333333332,25374.583333333332,10879.083333333332
2017-06-05,138140.0,120809.66666666666,113361.66666666666,57656.666666666664,41836.166666666664,29589.666666666664,30298.083333333332,10656.25
2017-06-06,102904.25,130265.41666666666,136306.0,76854.5,47818.416666666664,29641.583333333332,32332.666666666664,9824.583333333332
2017-06-07,76625.91666666666,142398.66666666666,140239.25,89343.16666666666,51433.416666666664,30541.916666666664,32786.75,9680.583333333332
2017-06-08,124032.83333333333,144151.5833333333,140407.3333333333,66619.16666666666,55174.0,27027.0,26815.833333333332,10225.666666666666
2017-06-09,43630.58333333333,138380.66666666666,134668.0,115734.75,78591.0,27105.583333333332,20224.583333333332,10437.666666666666
2017-06-10,58179.33333333333,144397.25,133561.16666666666,67948.0,47737.25,25889.666666666664,26487.833333333332,10127.833333333332
2017-06-11,84772.5,139461.16666666666,96736.25,55213.666666666664,44225.83333333333,28932.166666666664,30053.833333333332,9968.5
2017-06-12,128878.33333333333,143521.8333333333,134977.25,77474.16666666666,68129.5,29243.333333333332,31118.0,9802.166666666666
2017-06-13,110371.66666666666,144620.3333333333,153392.66666666666,119120.16666666666,58031.08333333333,29003.166666666664,29960.583333333332,9483.916666666666
2017-06-14,51537.25,144313.41666666666,156728.3333333333,165248.0,82154.41666666666,28284.083333333332,29101.083333333332,9597.583333333332
2017-06-15,84528.83333333333,144125.0833333333,162252.16666666666,152626.16666666666,58102.5,26265.5,27264.5,10203.333333333332
2017-06-16,120453.75,144133.41666666666,149431.0833333333,141329.5,58023.5,27587.0,24509.5,10757.416666666666
2017-06-17,105614.5,144126.66666666666,144088.16666666666,103829.08333333333,55336.75,27586.416666666664,24060.166666666664,10644.833333333332
2017-06-18,90844.75,144061.25,138291.41666666666,82780.75,45458.58333333333,26741.5,23745.583333333332,11061.416666666666
2017-06-19,136964.16666666666,143922.3333333333,161537.16666666666,153833.16666666666,51465.58333333333,23638.916666666664,19783.166666666664,10717.916666666666
2017-06-20,86524.25,143959.25,189096.41666666666,187452.25,59445.416666666664,25289.25,24510.916666666664,10531.0
2017-06-21,39468.08333333333,139661.75,182997.5,219260.41666666666,65243.166666666664,26790.0,26946.833333333332,9938.333333333332
2017-06-22,46655.25,142747.3333333333,186953.75,221107.25,53169.416666666664,27830.583333333332,28058.25,10515.083333333332
2017-06-23,64627.666666666664,144024.41666666666,185403.41666666666,172846.75,51113.666666666664,29840.333333333332,29665.583333333332,10168.166666666666
2017-06-24,84660.58333333333,144024.8333333333,177484.5833333333,101371.91666666666,31179.833333333332,26783.75,21753.583333333332,10055.083333333332
2017-06-25,85551.16666666666,140081.16666666666,168675.5833333333,65247.5,37900.166666666664,18061.333333333332,7615.166666666666,9640.833333333332
2017-06-26,65837.16666666666,123974.58333333333,165347.5,144179.0,57466.666666666664,28169.833333333332,26339.416666666664,10345.833333333332
2017-06-27,157443.66666666666,132012.41666666666,141799.0833333333,84636.08333333333,42416.666666666664,25503.916666666664,23595.333333333332,10668.75
2017-06-28,297080.75,137076.5,80518.83333333333,24824.583333333332,21803.916666666664,24632.75,15562.0,10546.5
2017-06-29,234079.41666666666,135898.3333333333,83936.75,40773.916666666664,9883.5,29134.416666666664,23180.25,10225.583333333332
2017-06-30,173561.91666666666,139462.8333333333,91515.08333333333,43913.33333333333,35453.416666666664,28383.0,27444.833333333332,10218.666666666666
2017-07-01,132761.75,141701.0833333333,91476.5,54645.33333333333,26118.416666666664,28296.333333333332,29189.0,10400.416666666666
2017-07-02,151003.0,144010.66666666666,61518.75,44613.83333333333,23837.916666666664,30451.083333333332,31199.083333333332,10452.583333333332
2017-07-03,122887.08333333333,143477.5833333333,119257.25,95935.08333333333,32699.999999999996,31708.499999999996,31396.166666666664,10465.25
2017-07-04,127404.25,143295.0,146633.0833333333,108338.33333333333,32440.833333333332,30852.666666666664,31431.833333333332,10802.333333333332
2017-07-05,115157.41666666666,143119.5833333333,156457.5833333333,119853.75,47073.83333333333,28274.25,25089.5,10791.25
2017-07-06,127101.0,142868.25,157176.5833333333,136910.0,34832.33333333333,14964.5,7018.583333333333,11241.916666666666
2017-07-07,124422.58333333333,142809.75,152347.5,135585.41666666666,25943.333333333332,17782.333333333332,16373.499999999998,11306.833333333332
2017-07-08,94351.33333333333,132568.91666666666,137756.8333333333,95324.58333333333,28448.083333333332,23665.416666666664,20639.75,11201.833333333332
2017-07-09,56349.75,135857.16666666666,134188.25,68651.5,27331.25,27339.333333333332,24195.0,10971.666666666666
2017-07-10,84497.16666666666,140878.5833333333,149773.5,146068.5833333333,32825.08333333333,28326.333333333332,29880.416666666664,11189.166666666666
2017-07-11,47593.916666666664,141613.5833333333,152366.91666666666,189444.41666666666,43390.0,29243.416666666664,31126.083333333332,11344.166666666666
2017-07-12,54305.916666666664,141281.16666666666,156533.5833333333,192881.0833333333,57489.666666666664,28768.666666666664,28186.833333333332,11407.0
2017-07-13,77352.5,134938.5,166612.0833333333,184369.16666666666,62730.0,27172.666666666664,22401.416666666664,11466.916666666666
2017-07-14,155628.25,139315.8333333333,151125.8333333333,156830.66666666666,38819.08333333333,27969.416666666664,25163.416666666664,11557.416666666666
2017-07-15,158948.16666666666,141867.0833333333,124574.58333333333,93512.66666666666,31567.583333333332,28939.083333333332,26465.833333333332,10864.416666666666
2017-07-16,130440.0,141711.0833333333,104241.5,87928.83333333333,17301.333333333332,29034.083333333332,28955.25,10389.916666666666
2017-07-17,156532.0833333333,141600.8333333333,152482.5833333333,140372.75,37377.08333333333,25652.583333333332,15373.5,10264.75
